Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/07 10:10:26 PM GMT+5:30,5,Prefer not to say,Once a week,Clothing and Fashion;others,Yes,Multiple times a day,Keyword,First page,4,Maybe,Often,Changed my mind or no longer need the item,Often,No,Occasionally,No,3,Sometimes,2,5,Customer service ,better app interface and lower shipping charges,156409
2023/06/09 10:31:15 AM GMT+5:30,8,Others,Less than once a month,Groceries and Gourmet Food,Sometimes,Few times a month,Keyword,Multiple pages,2,No,Often,High shipping costs,Never,No,Rarely,Sometimes,5,Yes,4,2,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,597662
2023/06/08 10:21:20 PM GMT+5:30,44,Others,Few times a month,Groceries and Gourmet Food,Sometimes,Rarely,others,First page,3,No,Rarely,High shipping costs,Rarely,No,Rarely,Yes,5,Sometimes,5,5,Quick delivery,Product quality and accuracy,642736
2023/06/08 5:28:09 PM GMT+5:30,8,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,First page,4,No,Sometimes,others,Often,Yes,Never,Sometimes,2,Sometimes,1,2,Customer service,Scrolling option would be much better than going to next page,842470
2023/06/08 3:30:05 AM GMT+5:30,65,Male,Once a week,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple times a day,others,First page,1,No,Sometimes,High shipping costs,Often,Yes,Never,Yes,4,No,5,4,Competitive prices,Nothing,723565
2023/06/12 3:59:59 PM GMT+5:30,43,Female,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a week,Filter,Multiple pages,3,Yes,Often,others,Always,No,Heavily,Sometimes,2,Sometimes,1,3,.,I don't have any problem with Amazon,859852
2023/06/07 3:08:03 AM GMT+5:30,18,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Multiple times a day,Filter,Multiple pages,1,No,Often,High shipping costs,Never,No,Never,No,5,Yes,1,2,Product recommendations,User interface of app,142410
2023/06/08 5:49:59 PM GMT+5:30,15,Female,Few times a month,others,Yes,Few times a week,others,Multiple pages,2,Yes,Sometimes,others,Sometimes,No,Occasionally,No,1,Yes,1,2,All the above,.,727991
2023/06/06 7:15:48 PM GMT+5:30,8,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,First page,1,Yes,Always,others,Often,Yes,Occasionally,No,1,No,3,4,Competitive prices,Shipping speed and reliability,529337
2023/06/09 2:39:47 PM GMT+5:30,28,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,others,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Sometimes,Yes,Never,Yes,4,No,2,5,Wide product selection,better app interface and lower shipping charges,983227
2023/06/06 6:51:13 PM GMT+5:30,54,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a month,nan,First page,2,Maybe,Never,Found a better price elsewhere,Often,Yes,Heavily,No,5,Sometimes,1,1,User-friendly website/app interface,No problems with Amazon,693088
2023/06/11 10:48:27 PM GMT+5:30,16,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,nan,First page,4,No,Sometimes,High shipping costs,Often,No,Moderately,No,3,No,1,1,Product recommendations,Nothing,637934
2023/06/08 5:48:14 PM GMT+5:30,41,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,nan,Multiple pages,2,No,Sometimes,others,Always,Yes,Moderately,Sometimes,1,Sometimes,5,2,Customer service,Scrolling option would be much better than going to next page,404313
2023/06/09 3:00:03 PM GMT+5:30,53,Prefer not to say,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Rarely,categories,First page,4,Maybe,Sometimes,others,Rarely,Yes,Occasionally,No,5,No,5,3,User-friendly website/app interface,Nothing,137747
2023/06/06 7:42:13 PM GMT+5:30,62,Male,Less than once a month,Home and Kitchen,No,Rarely,Filter,Multiple pages,3,Yes,Never,others,Sometimes,Yes,Occasionally,Yes,3,Yes,3,1,Quick delivery,Nil,116248
2023/06/11 10:57:34 PM GMT+5:30,4,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Filter,First page,5,Maybe,Sometimes,others,Often,No,Heavily,Sometimes,4,Yes,5,4,.,No problems with Amazon,469652
2023/06/08 5:52:26 PM GMT+5:30,5,Prefer not to say,Few times a month,others,Sometimes,Few times a month,Keyword,First page,5,Maybe,Sometimes,High shipping costs,Rarely,Yes,Occasionally,Yes,2,No,5,1,Product recommendations,User interface ,634746
2023/06/09 10:58:13 AM GMT+5:30,64,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Never,Found a better price elsewhere,Never,Yes,Moderately,No,2,Yes,2,1,All the above,I have no problem with Amazon yet. But others tell me about the refund issues ,485612
2023/06/11 9:15:38 PM GMT+5:30,20,Prefer not to say,Once a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Few times a week,others,First page,5,Yes,Rarely,Found a better price elsewhere,Never,Yes,Rarely,No,2,Sometimes,4,4,Customer service,better app interface and lower shipping charges,885663
2023/06/12 3:27:59 PM GMT+5:30,14,Others,Less than once a month,Beauty and Personal Care,Sometimes,Few times a month,others,First page,3,Maybe,Often,others,Always,Yes,Moderately,Sometimes,2,No,5,3,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,900068
2023/06/06 7:39:44 PM GMT+5:30,60,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,others,First page,4,No,Sometimes,Found a better price elsewhere,Rarely,Yes,Rarely,Sometimes,5,No,2,1,Quick delivery,No problems with Amazon,858820
2023/06/08 6:01:31 PM GMT+5:30,42,Male,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,others,Multiple pages,3,Maybe,Often,High shipping costs,Never,Yes,Moderately,Sometimes,3,Yes,2,1,Wide product selection,Scrolling option would be much better than going to next page,462956
2023/06/06 6:36:16 PM GMT+5:30,3,Others,Once a week,Beauty and Personal Care,Sometimes,Few times a week,others,First page,3,Yes,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Sometimes,1,Yes,2,1,User-friendly website/app interface,Product quality and accuracy,329949
2023/06/08 7:33:15 AM GMT+5:30,63,Female,Less than once a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,First page,1,No,Always,High shipping costs,Often,Yes,Rarely,No,5,Yes,3,1,.,No problems with Amazon,770094
2023/06/05 10:53:16 AM GMT+5:30,27,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Rarely,others,Multiple pages,4,Maybe,Often,Changed my mind or no longer need the item,Always,No,Moderately,Sometimes,4,Sometimes,5,2,Product recommendations,Reducing packaging waste,736809
2023/06/06 6:36:16 PM GMT+5:30,60,Others,Once a month,Beauty and Personal Care,No,Multiple times a day,categories,Multiple pages,2,Maybe,Sometimes,High shipping costs,Often,No,Occasionally,No,2,No,2,4,User-friendly website/app interface,Quality of product is very poor according to the big offers,599123
2023/06/08 11:59:14 AM GMT+5:30,33,Male,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple times a day,nan,Multiple pages,3,Maybe,Never,Found a better price elsewhere,Always,Yes,Never,Sometimes,5,Yes,5,1,User-friendly website/app interface,Reducing packaging waste,523465
2023/06/04 8:52:49 PM GMT+5:30,52,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,Filter,Multiple pages,1,No,Always,Found a better price elsewhere,Rarely,Yes,Rarely,No,2,No,4,1,Product recommendations,No problems with Amazon,724252
2023/06/08 9:54:40 AM GMT+5:30,50,Others,Less than once a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Rarely,categories,First page,5,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Occasionally,Yes,2,Yes,1,2,All the above,Shipping speed and reliability,667430
2023/06/07 9:20:34 AM GMT+5:30,61,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a month,categories,Multiple pages,3,Yes,Sometimes,High shipping costs,Always,No,Moderately,No,4,Sometimes,2,3,All the above,Nil,210266
2023/06/11 10:58:52 PM GMT+5:30,8,Others,Once a month,Clothing and Fashion;others,No,Few times a month,others,Multiple pages,4,Yes,Never,Changed my mind or no longer need the item,Sometimes,No,Rarely,No,1,Sometimes,2,5,Wide product selection,Nil,593120
2023/06/08 10:38:51 PM GMT+5:30,19,Prefer not to say,Once a week,Groceries and Gourmet Food;Home and Kitchen,No,Few times a month,Keyword,First page,3,Yes,Always,High shipping costs,Never,Yes,Never,Sometimes,3,No,3,3,User-friendly website/app interface,I don't have any problem with Amazon,331423
2023/06/08 3:25:14 AM GMT+5:30,28,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a week,Filter,First page,2,Maybe,Always,others,Never,No,Rarely,No,4,Sometimes,5,2,Quick delivery,Customer service responsiveness,785931
2023/06/11 11:21:30 PM GMT+5:30,66,Others,Once a month,Clothing and Fashion,Yes,Multiple times a day,nan,First page,3,Maybe,Sometimes,High shipping costs,Sometimes,Yes,Occasionally,Sometimes,1,No,4,1,.,Nothing,214457
2023/06/09 9:35:19 AM GMT+5:30,17,Others,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,2,Maybe,Never,Changed my mind or no longer need the item,Often,Yes,Rarely,Sometimes,2,No,3,4,User-friendly website/app interface,Nothing,792906
2023/06/06 8:08:19 PM GMT+5:30,20,Others,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Yes,Rarely,Filter,First page,2,Maybe,Sometimes,Changed my mind or no longer need the item,Often,No,Rarely,No,5,Sometimes,1,5,Wide product selection,UI,813113
2023/06/09 4:33:19 PM GMT+5:30,47,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a month,Keyword,First page,3,Yes,Often,Found a better price elsewhere,Often,No,Heavily,Yes,5,Sometimes,4,1,Wide product selection,I don't have any problem with Amazon,872467
2023/06/09 4:32:56 PM GMT+5:30,30,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Rarely,No,Moderately,Sometimes,2,No,1,4,Customer service,Add more familiar brands to the list,345987
2023/06/09 2:39:16 PM GMT+5:30,36,Prefer not to say,Once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Keyword,First page,2,Maybe,Never,others,Never,No,Rarely,No,3,Sometimes,5,2,Wide product selection,Product quality and accuracy,887447
2023/06/05 4:26:25 AM GMT+5:30,47,Prefer not to say,Few times a month,Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,2,Maybe,Often,High shipping costs,Never,No,Heavily,Yes,3,Sometimes,5,3,Product recommendations,Nil,690871
2023/06/08 5:35:25 PM GMT+5:30,40,Female,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Multiple times a day,others,First page,5,Maybe,Often,others,Always,Yes,Never,Yes,3,Sometimes,4,1,All the above,Reducing packaging waste,501083
2023/06/07 8:20:23 PM GMT+5:30,23,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Filter,Multiple pages,1,Maybe,Always,Changed my mind or no longer need the item,Never,Yes,Occasionally,Sometimes,1,Yes,3,2,Quick delivery,Nil,182901
2023/06/08 5:39:54 PM GMT+5:30,64,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,nan,Multiple pages,4,Yes,Never,others,Never,No,Moderately,Sometimes,2,No,1,5,.,Irrelevant product suggestions,617721
2023/06/07 9:54:24 PM GMT+5:30,3,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a week,categories,Multiple pages,5,Yes,Never,High shipping costs,Rarely,Yes,Rarely,No,4,No,1,3,Wide product selection,Scrolling option would be much better than going to next page,219918
2023/06/04 9:29:59 PM GMT+5:30,30,Others,Once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,nan,First page,4,No,Often,High shipping costs,Always,Yes,Rarely,Sometimes,3,No,2,4,Customer service,User interface of app,331496
2023/06/11 11:03:34 PM GMT+5:30,46,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Never,Yes,Never,Yes,5,No,3,2,All the above,Add more familiar brands to the list,836421
2023/06/05 9:20:17 AM GMT+5:30,8,Prefer not to say,Less than once a month,Clothing and Fashion,Sometimes,Multiple times a day,categories,Multiple pages,5,Yes,Rarely,others,Rarely,No,Moderately,No,4,Sometimes,1,5,Customer service ,Nil,515750
2023/06/11 10:57:34 PM GMT+5:30,31,Prefer not to say,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,Keyword,First page,4,Maybe,Always,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,1,Yes,4,5,Wide product selection,Nil,534521
2023/06/04 8:54:36 PM GMT+5:30,17,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Rarely,categories,Multiple pages,4,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Sometimes,2,No,5,2,Wide product selection,No problems with Amazon,448139
2023/06/06 6:35:33 PM GMT+5:30,38,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,nan,First page,5,Yes,Never,others,Often,No,Never,No,4,No,2,1,User-friendly website/app interface,Add more familiar brands to the list,814226
2023/06/09 7:27:00 PM GMT+5:30,30,Female,Once a week,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,categories,First page,3,No,Never,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,3,3,.,Scrolling option would be much better than going to next page,559321
2023/06/06 8:57:23 PM GMT+5:30,46,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,First page,1,Maybe,Rarely,Found a better price elsewhere,Always,No,Heavily,Yes,1,Sometimes,3,1,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,757044
2023/06/06 6:43:32 PM GMT+5:30,11,Others,Multiple times a week,Beauty and Personal Care,No,Few times a month,Keyword,First page,1,Maybe,Often,High shipping costs,Never,Yes,Moderately,Sometimes,1,No,1,4,All the above,User interface ,833258
2023/06/04 8:00:11 PM GMT+5:30,60,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Rarely,Filter,First page,3,No,Sometimes,others,Always,Yes,Rarely,Sometimes,5,Sometimes,3,2,Product recommendations,I have no problem with Amazon yet. But others tell me about the refund issues ,995288
2023/06/07 12:39:08 PM GMT+5:30,13,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,4,Maybe,Always,Found a better price elsewhere,Rarely,Yes,Occasionally,Sometimes,2,Sometimes,5,1,Wide product selection,better app interface and lower shipping charges,102975
2023/06/09 4:32:28 PM GMT+5:30,38,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a month,Keyword,Multiple pages,4,Maybe,Always,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,5,Yes,3,2,Wide product selection,Add more familiar brands to the list,637510
2023/06/07 2:11:50 PM GMT+5:30,9,Others,Once a week,Beauty and Personal Care;others,No,Few times a month,Keyword,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Never,Yes,5,Sometimes,3,2,Customer service ,Product quality and accuracy,615500
2023/06/09 7:24:06 PM GMT+5:30,14,Others,Once a week,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Always,No,Never,Sometimes,5,No,2,5,Product recommendations,Shipping speed and reliability,237420
2023/06/08 5:19:56 PM GMT+5:30,63,Male,Once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Keyword,First page,4,No,Often,others,Never,No,Heavily,Sometimes,5,Sometimes,4,5,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,756625
2023/06/06 6:43:32 PM GMT+5:30,9,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,2,No,Rarely,others,Always,Yes,Never,Sometimes,3,Sometimes,1,1,Wide product selection,Product quality and accuracy,614928
2023/06/04 5:04:56 PM GMT+5:30,22,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,2,Maybe,Rarely,Found a better price elsewhere,Never,Yes,Occasionally,Sometimes,5,No,2,3,Quick delivery,Nothing,328529
2023/06/07 5:26:20 PM GMT+5:30,52,Others,Less than once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Never,Yes,Occasionally,No,2,No,4,4,User-friendly website/app interface,Nil,881948
2023/06/07 11:00:15 PM GMT+5:30,38,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Rarely,nan,Multiple pages,1,Yes,Rarely,High shipping costs,Rarely,No,Occasionally,Yes,3,Sometimes,2,5,Quick delivery,Scrolling option would be much better than going to next page,940665
2023/06/05 4:49:43 PM GMT+5:30,32,Others,Once a week,Beauty and Personal Care;Home and Kitchen,Yes,Rarely,nan,First page,3,Maybe,Rarely,Found a better price elsewhere,Sometimes,No,Rarely,No,2,Yes,3,3,User-friendly website/app interface,Scrolling option would be much better than going to next page,951703
2023/06/08 5:52:44 PM GMT+5:30,65,Others,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,nan,First page,2,Maybe,Never,Found a better price elsewhere,Sometimes,No,Never,Yes,4,No,4,1,Wide product selection,better app interface and lower shipping charges,767320
2023/06/09 3:25:33 PM GMT+5:30,18,Male,Less than once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,categories,Multiple pages,5,No,Never,High shipping costs,Never,No,Never,No,1,Sometimes,2,1,Customer service ,better app interface and lower shipping charges,343913
2023/06/05 2:21:37 PM GMT+5:30,12,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Few times a week,Filter,First page,1,Maybe,Never,others,Always,No,Rarely,Sometimes,1,No,4,5,User-friendly website/app interface,Scrolling option would be much better than going to next page,857523
2023/06/11 11:07:31 PM GMT+5:30,23,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,others,First page,4,Yes,Always,Found a better price elsewhere,Never,No,Heavily,Yes,1,No,4,2,Wide product selection,Nil,361365
2023/06/06 11:20:53 AM GMT+5:30,51,Others,Once a week,Beauty and Personal Care,Yes,Few times a week,nan,First page,3,Yes,Never,others,Often,No,Moderately,Yes,2,Yes,2,1,All the above,Product quality and accuracy,569307
2023/06/07 10:41:10 PM GMT+5:30,18,Others,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Multiple times a day,nan,Multiple pages,5,Maybe,Always,Found a better price elsewhere,Often,No,Rarely,No,5,No,2,1,Wide product selection,better app interface and lower shipping charges,654081
2023/06/08 5:17:10 PM GMT+5:30,5,Female,Once a month,Home and Kitchen;others,Yes,Few times a month,nan,First page,3,Yes,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,1,Sometimes,3,3,Customer service,I don't have any problem with Amazon,426515
2023/06/12 4:02:02 PM GMT+5:30,57,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Filter,First page,5,Maybe,Never,High shipping costs,Sometimes,No,Occasionally,Yes,5,Sometimes,4,4,All the above,No problems with Amazon,994130
2023/06/04 7:13:12 PM GMT+5:30,45,Prefer not to say,Once a month,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,Keyword,First page,5,Maybe,Never,others,Often,No,Heavily,No,2,No,3,3,Product recommendations,Nil,283728
2023/06/07 6:17:42 PM GMT+5:30,65,Prefer not to say,Few times a month,Beauty and Personal Care,Yes,Multiple times a day,Filter,Multiple pages,2,Yes,Often,Found a better price elsewhere,Sometimes,No,Never,Sometimes,3,No,2,3,.,Product quality and accuracy,122998
2023/06/08 5:42:23 PM GMT+5:30,6,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple times a day,others,First page,5,No,Rarely,High shipping costs,Sometimes,Yes,Occasionally,No,5,Sometimes,1,3,Product recommendations,I have no problem with Amazon yet. But others tell me about the refund issues ,749800
2023/06/07 10:58:27 AM GMT+5:30,4,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Filter,Multiple pages,5,Yes,Never,Changed my mind or no longer need the item,Never,No,Rarely,Yes,2,Yes,5,2,Quick delivery,Customer service responsiveness,306279
2023/06/04 7:45:33 PM GMT+5:30,42,Female,Multiple times a week,Home and Kitchen;others,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Rarely,Sometimes,4,No,5,4,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,193812
2023/06/07 6:17:42 PM GMT+5:30,27,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,No,Rarely,others,Multiple pages,4,No,Sometimes,High shipping costs,Sometimes,Yes,Never,Yes,1,Sometimes,4,2,Customer service,Irrelevant product suggestions,875145
2023/06/07 5:26:20 PM GMT+5:30,6,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,2,Maybe,Always,High shipping costs,Rarely,No,Heavily,No,3,No,5,1,Customer service ,UI,257084
2023/06/08 5:14:30 PM GMT+5:30,18,Others,Few times a month,Groceries and Gourmet Food,Yes,Few times a week,Filter,Multiple pages,4,No,Rarely,Found a better price elsewhere,Sometimes,No,Moderately,Yes,3,Sometimes,3,1,Customer service ,User interface ,200545
